,Tahun,Comments,preprocessed,,
4811,2023,@frdnnnnhdytullah kelass bang nerss wkwkwk,kelas bang ners wkwkwk,,
4812,2023,0-5 yakan,yakan,,
4813,2023,Jam 8 kak,jam kak,,
4814,2023,"Jam 3,40 pagi",jam pagi,,
4815,2023,Just konten.,just konten,,
4816,2023,"08.10 bener gk kak,semoga benar ya Allah",kak moga ya allah,,
4817,2023,08.10 pagi kak bismillah di telfon kak sis,pagi kak bismillah telfon kak sis,,
4818,2023,Hallo Kak!! ??Kami dari Hobiku Shop Sedang Mengadakan Promosi Semua Produk kami Karena Event Toko Baru. ??,halo kak kilau hobi shop ada promosi produk event toko party popper,,
4819,2023, dari yang mulai Mendengarkan Lagu,dengar lagu,,
4820,2023, Dijelaskan secara rinci,rinci,,
4821,2023,Jam 10.30,jam,,
4822,2023,Jam 09.05 kak,jam kak,,
4823,2023,Baby limit,baby limit,,
4824,2023,8.10 Waktu Singapore Dan 7.10 WIB,singapore wib,,
4825,2023,@0regano03 waktu nya masuk sholat shubu,nya masuk sholat shubu,,
4826,2023,Malam kak cantik semoga anak ya sehat sehat dan ibunya juga semoga sehat,malam kak cantik moga anak ya sehat sehat ibu moga sehat,,
4827,2023,08 September 2023 08.10,september,,
4828,2023,@arkharakhaaa ??????,wajah menang wajah beri cium jauh wajah beri cium jauh,,
4829,2023,"Lahirnya samaan kyak anakku kak,cuma beda jam saja??",lahir sama kayak anak kak beda jam wajah senyum lebar mata hati,,
4830,2023,Jam 4,jam,,
4831,2023,Kasih nama amit,kasih nama amit,,
4832,2023,Jam 02.00 malam,jam malam,,
4833,2023,@adrianntyo lu ngapain??,lu kapai moa,,
4834,2023,Tidak ada yg tau hanya Tuhan yang tau,tau tuhan tau,,
4835,2023,Lahir kaya??,lahir kayak poles kuku,,
4836,2023,"Hidup penuh konten, cape ??",hidup penuh konten capek wajah gembira urai air mata,,
4837,2023,baby shopia lahir jam 8:10 kak moga jadi debay yg takut akan Tuhan dan taat,baby shopia lahir jam kak moga adek bayi takut tuhan taat,,
4838,2023,kayakya lahirya jam 4 pagi deh kak.,kayakya lahirya jam pagi deh kak,,
4839,2023,Sehat sllu y sis,sehat ya sis,,
4840,2023,Jam 08.10 AM 8 September 2023,jam september,,
4841,2023,Jam 08:10 kak dan lahir 8 September 2023,jam kak lahir september,,
4842,2023,Jam 12 siang,jam siang,,
4843,2023,Sdh sholat isya,sholat isya,,
4844,2023,@smey48 Dia baru lahir sama aku yg kerja 24 jam kayaan dia??,lahir kerja jam kaya wajah gembira urai air mata,,
4845,2023,Sophia doyan susu,sophia doyan susu,,
4846,2023,"Semua di kontenin, ambisi kali.",kontenin ambisi kali,,
4847,2023,Iri bnget ni org??,iri banget nih orang wajah gembira urai air mata,,
4848,2023,"@ikayunita.a lagian kalo wanita karir rata2 mana bisa DBF bun,,ga mungkin kerja sambil netein bayi nya ..ga semua ibu2 kerjanya IRT.. saling menghargai aja yg penting anak sehat..",a kalo wanita karir ratarata dbf bun enggak kerja netein bayi nya ibuibu kerja irt harga anak sehat,,
4849,2023,Mari kita cobaaaa,mari coba,,
4850,2023,welcome melek2 club koh ??,welcome melek club koh wajah gembira urai air mata,,
4851,2023,@feraprmtcr bisa buat dp motor kali ya fer??,dp motor kali ya fer tertawa terbahakbahak,,
4852,2023,Katanya masih bayi ga boleh dulu dikasi apa apa walaupun itu air putih,bayi kasi air putih,,
4853,2023,"Kzl bat ama yg komen asi2. Itu jg isinya mgkin asi emaknya. Suka2 dia jg lagian mau gmn, gausah sok saran. Mrk ortunya lbh tau mana yg terbaik.",kzl banget komen asi isi asi emaknya sukasuka sok saran orang tua tau baik,,
4854,2023,"@ikayunita.a yg kaya gini nih, yg bikin baby blues , abis lahiran mental di hajar habis habisan.. sebelum mrlahirkan pasti udh tau bu, udh belajar parenting, makin di ingetin kaya gtu makin stress karna keadaan emang tidak bisa memberikan asi, bukan tidak mau.",a kayak nih bikin baby blues habis lahir mental hajar habis habis mrlahirkan tau bu ajar parenting kayak stres asi,,
4855,2023,@ikayunita.a ya masa ngasih asi dari emaknya langsung bakal dikontenin ??,a ya asih asi emaknya langsung dikontenin wajah menang keras,,
4856,2023,@ikehde25 g usah mikir kalo listrik abis brarti??,mikir kalo listrik habis wajah gembira urai air mata,,
4857,2023,Karna dia konten kreator makanya di kata bahan konten padahal orng2 lupa anaknya baru lahir juga dah di pideoin di jadiin story ??,konten kreator bahan konten orng lupa anak lahir deh pideoin jadi story wajah gembira urai air mata,,
4858,2023,@gungiswl bisa Asi dinperah kog ditarok di botol bisa juga sufor ngapa emnak sufor lha daripad anaknya kelaperan pas asi g kluar nndaripada dikasih pisang mending kasih sufor kan....trus knPa g dari pabrikannya langsung kalo asi bisa aja anaknya masih bingung puting kadang ini kita kudu belajar dulu pelakatan pas awal2 jadi ibu,asi dinperah ditarok botol sufor ngapa emnak sufor daripad anak kelaperan pas asi nndaripada kasih pisang mending kasih sufor pabrikan langsung kalo asi anak bingung puting kadang kudu ajar pelakatan pas awalawal,,
4859,2023,@adi.junaidi_ so tau ??????,junaidi sok tau wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4860,2023,@mariamargarethasw ?????,hati merah wajah beri cium jauh,,
4861,2023,@cinintarynti19 iya dong??,iya wajah gembira urai air mata,,
4862,2023,@aaaayaa.s_ weeh....ikut nimbrung juga di sini??,s weeh nimbrung wajah gembira urai air mata,,
4863,2023,@lutfianikarinaulfa Aminn??,amin wajah malaikat,,
4864,2023,@ikayunita.a mungkin ibu bilang bwgitu krna PDnya g sensitif jd blm pernah ngrasain PD luka smp berdarah2 gra2 nyusui... Ktnya kurang nempel lah apa lah .. sy ngalami sendiri krna PD sensitif 2anak gitu semua anak ke.2 mlah smp bernanah ini hmil ke.3 udah stop mau kasih asi lewat PD langsung jd mau d perah aja masukin ke botol... Jd jangan suka bully bunda2 yg g kasih PD nya buat mengASIhi anaknya krna g ada hubungannya krnadiri sendiri juga perlu d kasihi...,a bilang bwgitu pdnya sensitif rasai luka darah garagara nyusui tempel ngalami sensitif anak anak ke nanah hmil ke stop kasih asi langsung perah pasuk botol suka bully bunda kasih nya asih anak hubung krnadiri kasih,,
4865,2023,"@gungiswl wong edan. Bsk2 klo liat orng pny anak situ gausa nanya asi apa kaga, pny anak kan. Klo pny asi deres yaudah minum aja sendiri gausa di bandingin ama orng.",edan bsk kalo lihat orang anak situ asi kagak anak kan kalo asi deres yaudah minum banding orang,,
4866,2023,"@rishaauliairwandari bener banget,,GK tau aja itu asi dipompa Maemunahhhhh..di dot dlu biar emmaknya bisa istirahat GK bolak balik tidur pegel nyusuin ..Krn abis lahiran keadaan Qt kurang nyaman jdi dibantu dlu Ama dott Qt tinggal pompa asi doang",banget enggak tau asi pompa maemunah dot biar emmaknya istirahat bolak tidur gel nyusuin habis lahir nyaman bantu dot tinggal pompa asi doang,,
4867,2023,@adi.junaidi_ itu asi bah kthuan dr warnany pumpingan asi,junaidi asi bah kthuan warna pumpingan asi,,
4868,2023,@gilangtama48 haahhaahhaa bisa bisaan.....,haahhaahha bisa,,
4869,2023,Anaknya nyedot angin itu. Kurang naik posisi COMOTOMO nya,anak nyedot angin posisi comotomo nya,,
4870,2023,"Habis lahiran kasih support, semangat, doa baik2. Dokter anak nya pasti sudah kasih suggest yang baik.",habis lahir kasih support semangat doa baikbaik dokter anak nya kasih suggest,,
4871,2023,@gaara_nbmivta sewaktu dia dah besar nyari loker ny gampang yah??,deh cari loker nya gampang ya wajah senyum lebar dan keringat,,
4872,2023,"@ikayunita.a ya mungkin krna lgi bikin vidio jdi pake dot ,ya kali bkin vidio susu bundanya di sorot kamera",a ya bikin vidio pakai dot ya kali bikin vidio susu bunda sorot kamera,,
4873,2023,Ko orang2 pada ngeribetin kenapa ngga dikasih asi sama tahu lahirannya dimana yaa? Emang dikasih apaan sampe berdebat sama nge hafal gitu hehe,orangorang ngeribetin kasih asi lahir mana ya kasih debat nge hafal hehe,,
4874,2023,@ikayunita.a every new mom had a different journey to motherhood. So...STFU! ????,a every new mom had a different journey motherhood sok stfu jari kuncup warna kulit cerah,,
4875,2023,"@sbctngrm kalau bahas ini mmng anak aku jg nggak mau pake dot KK kalau minum susu dia cuma mau minum air putih pakai itu, dari umur 0-6 bulan anak aku cuma asi kk ehehhehehe",bahas mmng anak pakai dot minum susu minum air putih pakai umur anak asi ehehhehehe,,
4876,2023,"@yollandapr supaya kalau nanti udah mulai tenggelam alias ga laku lagi, baru mulai buka muka anaknya (itu cara  yg ??ipake?? supaya dipublikasikan lagi sama media bahwa si anu sudah mulai memperlihatkan wajah anaknya wkwkwk jadi ga tenggelam berita tentang dia??????",tenggelam alias laku buka muka anak pakai publikasi media sih anu wajah anak wkwkwk tenggelam berita wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4877,2023,"@ila_h.nasution anakku gak mau pakai dot bun, udah coba yg philip avent juga ttp gak mau. Kira2 pakai comotomo mau gak ya? Katanya itu lembut ya dotnya?",nasution anak pakai dot bun coba philip avent pakai comotomo ya lembut ya dot,,
4878,2023,@sbctngrm comotomo kk,comotomo,,
4879,2023,@ila_h.nasution kak itu merk nya apa ya?,nasution kak merk nya ya,,
4880,2023,"Gak semua ibu melahirkan asi nya langsung ada, contohnya saya sendiri. 2x melahirkan, dua duanya asi nya baru keluar dihari ketigaa guysss. Nunggu asi keluar, ya pakai sufor dulu.",lahir asi nya langsung contoh x lahir dua asi nya hari tiga guys tunggu asi ya pakai sufor,,
4881,2023,Baru lahir udh cantik bgt,lahir cantik banget,,
4882,2023,Gemoy bangeeeeyyyyy??????,gemoy bangeey wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati,,
4883,2023,"@cindieffendi_ ga ngerasain abis bensin, minta hotspot, tambah seribu klk diganti",rasai habis bensin hotspot ribu kelak ganti,,
4884,2023,@gilangtama48 @indrianihernisyahputri takan merasakan ban motor pecah di tambal lagi,tak rasa ban motor pecah tambal,,
4885,2023,Wes di adzan in a ?,wes adzan a,,
4886,2023,Namanya juga pablikfigur cuy kesehatian harus diinfoin biar betizen senang ??,nama pablikfigur cuy hati diinfoin biar betizen senang wajah gembira urai air mata,,
4887,2023,Kain bedong keturunan kerajaan wkwk,kain bedong turun raja wkwk,,
4888,2023,@kusno_soeminar dih apaansih cipung cipung cipung cipung pinter apanya coba pinter modol,dih apaansih cipung cipung cipung cipung pintar apa coba pintar modol,,
4889,2023,Baby yg sudah terjamin masa depan cerah bilek??,baby jamin cerah bilek moa,,
4890,2023,Mirip kak siska,kak siska,,
4891,2023,@gilangtama48 bener banget????,banget wajah gembira urai air mata wajah gembira urai air mata,,
4892,2023,Shopia lucu banget cantik juga kaya mama nya,shopia lucu banget cantik kayak mama nya,,
4893,2023,@diazgitafitri ???,hati merah,,
4894,2023,"@trirahayu711 anak aku juga ga asi ko kak dari mulai baby 3 bulan karna si ku sedikit, kuncinya jgn pernah difikirin mba omongan orang lain yg penting kita harus selalu happy jd ibu semngat ya . Orang tau apa tentang badan kita dan anak kita yg tau hanya kita ibunya jd omongan orang ga baik jgn difikirin lagi ya yg penting anak kita sehat ???",anak asi kak baby sih ku kunci difikirin mbak omong orang happy semangat ya orang tau badan anak tau ibu omong orang difikirin ya anak sehat hati merah,,
4895,2023,@anieta_fasya ????,wajah senyum lebar mata hati tertawa terbahakbahak,,
4896,2023,@anieta_fasya iyoo??,iyo wajah gembira urai air mata,,
4897,2023,Dot e jco @emiliatribuanadewi @diahwulann ??,dot e jco wajah gembira urai air mata,,
4898,2023,@trirahayu711 i feel u mbak ?? saya jga hampir gila krna bany di body shammong dan dikatain anak sufor gnsa kasi asi ke anak ??,i feel lu mbak wajah menang gila bany body shammong katai anak sufor gnsa kasih asi anak wajah menang,,
4899,2023,Hahahaha bener banget????,hahahaha banget wajah gembira urai air mata wajah gembira urai air mata,,
4900,2023,sophia lucu banget ??,sophia lucu banget wajah stres,,
4901,2023,@gilangtama48 betul bngt semoga kita fns nya mereka nular harta aminn....???????,banget moga fns nya nular harta amin tepuk tangan angkat tangan hati merah,,
4902,2023,smp nya udah hp iphone kalah aku??,nya hp iphone kalah wajah menang,,
4903,2023,Muka nya pasti nnti kyax aunty nya jesica jane,muka nya kayak aunty nya jesica jane,,
4904,2023,"Ibu ibu kondisi wanita setelah melahirkan itu beda beda yaaaa.. jangan disamainn kaya kalian yang bisa pecicilan lari sana sini atau kasih nyusu netein anaknya secara langsung. Tingkat rasa sakit tiap orang tuh beda beda !!! Penanganan/treatment tiap rumah sakit juga beda2.. rumah sakit diluar negri sama di Indonesia tuh bedaaaaa jauuuhhhhhh banget jadi ingettt gak usah disamain. Dan gak semua yg dibotol itu bukan ASI !!! Jangan sok tau sok kasih saran ini itu, kalian bukan dokter atau siska jdi mending kasih dukungan sama komenan baik aja, gk usah julid ngomongin yg gk enak, keliatan banget iri nya.",kondisi wanita lahir beda beda ya disamain kayak pecicilan lari kasih nyusu netein anak langsung tingkat sakit orang tuh beda beda penanganantreatment rumah sakit bedabeda rumah sakit luar negeri indonesia tuh beda jauuh banget disamain botol asi sok tau sok kasih saran dokter siska mending kasih dukung komentar julid omong enak banget iri nya,,
4905,2023,@gilangtama48 sedih gua ilang anjirr baca komen lu.mskh udh menghibur??,sedih gua hilang anjir baca komen lumskh hibur wajah gembira urai air mata,,
4906,2023,"@mayhartati69 lebih suka pake botol susu, kok jd foto sih ?? typo",suka pakai botol susu foto sih wajah gembira urai air mata typo,,
4907,2023,"Dulu waktu anak pertamaku lahir jg gitu, lbh suka pake foto karena dia gk bisa nyedot dr asi ku langsung, jd asi nya ku pompa trus ku masukin ke dpt. Begituuu",anak pertama lahir suka pakai foto nyedot asi ku langsung asi nya ku pompa ku pasuk,,
4908,2023,Tanggal lahirnya baby sophia sama tanggal lahirnya anak aku ??,tanggal lahir baby sophia tanggal lahir anak wajah peluk,,
4909,2023,Tanggal lahirnya baby Sophia sama seperti tanggal lahir anak aku @jessnolimit,tanggal lahir baby sophia tanggal lahir anak,,
4910,2023,@gilangtama48 sejelas itu yah ??????,jelas ya wajah senyum lebar dan mata tutup wajah senyum lebar dan mata tutup wajah senyum lebar dan mata tutup,,
4911,2023,@gilangtama48 ???? @deasyrj,wajah menang keras wajah menang keras,,
4912,2023,@gilangtama48 ?????????? @ridha_asterei @mayaamoora,tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,,
4913,2023,@adi.junaidi_ kalau SC emang ga langsung bisa kasih asi.. Nanti udah 3 hari pas udah pulih baru ngasih asi..,junaidi sc langsung kasih asi pas pulih asih asi,,
4914,2023,@gilangtama48 ????????,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4915,2023,Dotnya aja sultan ??,dot sultan wajah senyum dengan air mata,,
4916,2023,@sanystiana ??????bener bener,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4917,2023,"@yangmuliailham abis caesar kemarin asiku ga langsung keluar, nunggu beberapa hari, itupun pas asiku keluar anak ku msh d inkubator d rs dan ak udh pulang duluan. tiap ada postingan atau liat d buku pink ttg asi pertama rasanya sebel, sedih, merasa gagal.",habis caesar kemarin asi langsung tunggu itu pas asi anak ku inkubator rs pulang duluan postingan lihat buku pink asi sebel sedih gagal,,
4918,2023,Baby sophia nya sekilas mirip sama  @aliyyah.kohl,baby sophia nya kilas kohl,,
4919,2023,ada juga yg bisa d samain dg sophia. meskipun cuman botol susu comotomo. d shopee 270rb buatku udh mahal. buat sophia paling tiap hari ganti baru ??,samain sophia cuman botol susu comotomo shope rb buat mahal sophia ganti wajah senyum lebar dan mejam mata,,
4920,2023,0-6 bulan bayi tidak perlu minum susu selain asi ya papa sophia????,bayi minum susu asi ya papa sophia lipat tangan warna kulit cerah,,
4921,2023,@rishaauliairwandari bener banget mbak.. wajar aja la sisca kol milih ke sg untuk lahiran... ????,banget mbak wajar sisca kol pilih sg lahir wajah gembira urai air mata wajah gembira urai air mata,,
4922,2023,@ikayunita.a buk bapaknya pengen ngasih susu untuk anaknya.. bapaknya g punya puting.. kite mane tahu la buk bisa jd selama ini dbf dengan maknye... karena si bapak mau ngasi susu makanya asi di masuki dot karrna si bapaka kagak punya puting,a buk bapak pengin asih susu anak bapak puting mane buk dbf maknye sih asih susu asi masuk dot karrna sih bapaka kagak puting,,
4923,2023,@adi.junaidi_ pak stay positif donk.. bisa aja itu asi.. g usah ngoment2 ginilah..,junaidi stay positif asi ngoment gin,,
4924,2023,Kak sophia anak cewek atau cowok,kak sophia anak cewek cowok,,
4925,2023,@gilangtama48 ini yg paling bener dah dari semua,deh,,
4926,2023,@kusno_soeminar cipung siapa,cipung,,
4927,2023,@gilangtama48 oh gtu ya rahasianha wkwkwk,oh ya rahasianha wkwkwk,,
4928,2023,kok bukan ASI ya bang?,asi ya bang,,
4929,2023,@nanacan2613_ masih diperut pun dah dijodoh jodohiin,perut deh jodoh jodohiin,,
4930,2023,@ikayunita.a org2 kek gni nih yg bikin ibu lahiran jd baby blues. aplg blm punya anak sok2 ngmg ngang ngong!!,a orangorang kayak nih bikin lahir baby blues aplg anak soksok omong ngang ngong,,
4931,2023,@gilangtama48 kita sampai dewasa masih nangis :(,dewasa menang,,
4932,2023,Semoga cepat besar bang,moga cepat bang,,
4933,2023,"@ikayunita.a mungkin memilih dot, secara gt loh, you know lah??????",a pilih dot loh you know wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4934,2023,"@cupofsassy iyaa Buu, jd nya ketawa aja??????",iya bu nya ketawa wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4935,2023,@pradaniii__ pas  gede dicomblangin ma cipung sm netijen,pas gede dicomblangin cipung netijen,,
4936,2023,@ikeyokeyy_ iyuh mngt ampie e????,ih mngt ampie e wajah gembira urai air mata wajah gembira urai air mata,,
4937,2023,@gilangtama48 @hsn_nfrn dusah bagawi beh te mun jadi hai??,dusah bagawi beh te mun hai tertawa terbahakbahak,,
4938,2023,"@sanystiana speechless ya mba sampe males mau bales lagi wkwkwkk si paling tau deh dia, yg lain pada ga tau ????",speechles ya mbak malas balas wkwkwk sih tau deh tau tertawa terbahakbahak wajah uap,,
4939,2023,@gilangtama48 pantesan kita sampe besar nangis terus anjay @_nunydlmptr @_mml_23,pantesan menang anjay,,
4940,2023,Matanya mirip ayahnya ya,mata ayah ya,,
4941,2023,Kayak party ml aja bang  pake ayo ayok,kayak party ml bang pakai ayo ayok,,
4942,2023,Cantiknya baby @sophianolimit,cantik baby,,
4943,2023,Udh punya instragram cok cuan nolimit,instragram cok cuan nolimit,,
4944,2023,Sophia lucu pakai bando,sophia lucu pakai bando,,
4945,2023,"Masyaallah Tabarakallah cantik banget Dede ny ?????,sehat selalu buat dd ny",masyaallah tabarakallah cantik banget adek nya wajah senyum lebar mata hati hati merah sehat nya,,
4946,2023,Same with daddy ya de .... Lucky face ??????,same with daddy ya deh lucky face wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati,,
4947,2023,Berasa lg di ejek @sophianolimit  wei??,asa ejek wei wajah bulan baru,,
4948,2023,Shopia kayaknya ga tuhan tanya sampe 79? deh. Baru 1x ditanya tuhan "kamu mau jadi anak jess dan sisca?" Langsung bilang YES BANGET tuhan ??,shopia kayak tuhan deh x tuhan anak jes sisca langsung bilang yes banget tuhan wajah senyum lebar mata hati,,
4949,2023,Imut banget lucu,imut banget lucu,,
4950,2023,@ryabgl_ dari username nya aja udah ngakak wkwk,username nya akak wkwk,,
4951,2023,@hellometha mb baca komen2nya dah wkwkww,mbak baca komennya deh wkwkw,,
4952,2023,lucu bgt sophia,lucu banget sophia,,
4953,2023,Ini bedong yang harga nya selangittt????,bedong harga nya langit wajah dengan mulut buka wajah senyum lebar mata hati,,
4954,2023,Anak konten??,anak konten wajah menang,,
4955,2023,@sophianoduit namanyaaa ??????,nama wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,,
4956,2023,?????? tgl lahirnya sama kaya anak keduaku 8 sep dan bb nya juga 2730 gr ???,wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati tanggal lahir kayak anak dua sep b nya gr hati merah,,
4957,2023,"Gemess..?? Selamat ya @jessnolimits @siscakohl,bahagia selalu..bulan lahirnya sama dengan bulan lahir saya.semoga nular saya bisa punya baby..",gemas wajah senyum lebar mata hati selamat ya bahagia lahir lahir sayasemoga nular baby,,
4958,2023,Aku pgn jd shopia ??,pengin shopia wajah menang,,
4959,2023,"Imut,penuh kelembutan",imut penuh lembut,,
4960,2023,mirip jessica jane??,jessica jane wajah senyum lebar mata hati,,
4961,2023,"baru lahir, hoki seumur hidup udh kepake.",lahir hoki umur hidup kepake,,
4962,2023,"??????????????? lucu,, kayak kecium wangi bayi sampe sini????",hati merah hati merah hati merah wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati lucu kayak cium wangi bayi wajah senyum lebar mata hati wajah gembira urai air mata,,
4963,2023,Sekrang makin gk jelas dan aneh,aneh,,
4964,2023,Maaf kak jes munurut saya akhir akhir ini tidak ada postingan yg berkaitan debgan mobile legends  padahal game tersebut yg membesarkan  kak jes.,maaf kak jes munurut postingan kait debgan mobile legends game besar kak jes,,
4965,2023,????????? sehat selalu shopiaaaa??????,hati merah hati merah hati merah sehat shopia hati merah hati merah,,
4966,2023,Ulang tahun kita sama yh baby shophia ??,ulang ya baby shophia tepuk tangan,,
4967,2023,Gemoyyyy babynolimit ????,gemoy babynolimit wajah senyum lebar mata hati wajah senyum lebar mata hati,,
4968,2023,Sophia tanggal dan bulan lahir kita sama??,sophia tanggal lahir hati putar,,
4969,2023,Gemes banget,gemas banget,,
4970,2023,Sophiaaa..shophiaaa... Maen nyoookk????,sophia shophia main nyook wajah gembira urai air mata wajah gembira urai air mata,,
4971,2023,Ini malah papanya @sophianolimit yang lebih gemesin..,papa gemas,,
4972,2023,Aakk ngeliat sophia kecil aku jadi kangen masa baru lahir mput ?????? waktu kayaknya cepat berlalu. Bulan besok udah mau setahun,aak sophia kangen lahir mput wajah memelas wajah memelas wajah memelas kayak cepat besok tahun,,
4973,2023,@grey_indonesia haha ngakak,haha akak,,
4974,2023,@sophianoduit ????,wajah gembira urai air mata wajah gembira urai air mata,,
4975,2023,"Gemessss bgt liat papanya kayanya tuuhh sebahagia itu loh dia, mantaapp bang justin??",gemas banget lihat papa kaya tuh bahagia loh mantap bang justin tepuk tangan,,
4976,2023,selamat ya????,selamat ya tepuk tangan api,,
4977,2023,"Gemeesh banget bapak nya ?? , eeh ??",gemeesh banget nya wajah senyum lebar mata hati eeh wajah gembira urai air mata,,
4978,2023,Enak nya terlahir dari keluarga kaya raya,enak nya lahir keluarga kayak raya,,
4979,2023,Cantik banget??,cantik banget wajah senyum lebar mata hati,,
4980,2023,@alfaariana ada kak. Di tiktok nya udah upload video pasca lahiran,kak tiktok nya upload video pasca lahir,,
4981,2023,Gemesshh gemoy sekaliii ??,gemessh gemoy wajah senyum lebar mata hati,,
4982,2023,"@sophianoduit dengan 0 foto, followersmu buanyak lohh sop no duit??",foto followersmu buanyak loh sop no duit wajah gembira urai air mata,,
4983,2023,Semoga sehat selalu Baby @sophianolimit God Bless you always ????,moga sehat baby god bles you always dua hati wajah malaikat,,
4984,2023,"??asik lahir di perut siscakhol, uang gw no limit",bayi asik lahir perut siscakhol uang gue no limit,,
4985,2023,Kk kemarin aku jawab pangkal nama s kk,kemarin pangkal nama si,,
4986,2023,Lucu bangetttt,lucu banget,,
4987,2023,Perasaan klau bobo miring mulu kplanya jess ..benerin??,asa bobo miring mulu kplanya jes benerin wajah menang,,
4988,2023,Tau ga? TANDANYA DIA UDAH SIAP JADI ORANGTUA!!!! ga usah ngmg2 urusan dia ga ada kerjaan lain. Pasti ada lah bisnis2 cm ga bilang2 sm elo ahahha. Intinya cowo yg siap dan dewasa ga akan ngeluh cuma gantiin popok bayi doank mah!!! Klo mokondo pasti bilangnya "KAMU KAN IBUNYAAA AKU UDAH CAPEK KERJA" berasa lo doank yg capek ahaha,tau tanda orangtua ngmg urus kerja bisnis bilangbilang lo ahahha inti cowok dewasa ngeluh ganti popok bayi doang mah kalo mokondo bilang ibu capek kerja asa lo doang capek ahaha,,
4989,2023,@sophianoduit ????????,tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,,
4990,2023,"BPK ini ga mikirin beli Pampers,, jadi ga pusing,,??",bpk pikir beli pampers pusing wajah gembira urai air mata,,
4991,2023,@ditasltg ??,wajah gembira urai air mata,,
4992,2023,Sophia lebih mirip emak nya,sophia emak nya,,
4993,2023,Gemoyyyy???????? Princces Sophia,gemoy wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati princces sophia,,
4994,2023,Semoga segera pnya baby lucu kaya ni Tuhan,moga baby lucu kayak nih tuhan,,
4995,2023,@sophianoduit iye Sop kite pan tmenan yak????,iye sop tmenan ya wajah gembira urai air mata wajah gembira urai air mata,,
4996,2023,Tau kan kenapa shopia senyum2.,tau shopia senyum,,
4997,2023,Sipitt sekalii macam bapak nya,sipit nya,,
4998,2023,Sopia ayo main kelereng,sopia ayo main kelereng,,
4999,2023,Gemes amatcii shopiaa pen tak gigitt deh??,gemas amatci shopia pengin gigit deh wajah terlalu lelah,,
5000,2023,Bg mama ny mn ??..,bang mama nya,,
5001,2023,@sophianoduit pengen nangis shopianoduit????????,pengin menang shopianoduit wajah menang keras wajah menang keras wajah menang keras wajah menang keras,,
5002,2023,Boleh ga gw hap??,gue hap,,
5003,2023,Selimutnya tidak di jual di mal ter dekat??,selimut jual mal ter wajah menang,,
5004,2023,Asi apa sufor??,asi sufor angkat tangan,,
5005,2023,"Aaaa gemes banget sama shopiaa maasyaallah??. Semoga lekas membaik recoverynya kak Sisca, semangat koh jess",a gemas banget shopia maasyaallah wajah senyum lebar mata hati moga lekas baik recoverynya kak sisca semangat koh jes,,
5006,2023,Gemess nyaa maasyaAllah tabarakallah???,gemas nya maasyaallah tabarakallah hati merah,,
5007,2023,Lgi ngigau makan samyang Sophia nya wkwk,ngigau makan samyang sophia nya wkwk,,
5008,2023,Lchu bgt sch qm sophia?????????,lchu banget sch sophia hati merah hati merah hati merah,,
5009,2023,Pipinya mirip kak siscaa,pipi kak sisca,,
5010,2023,"nama memang samaa, nasib yg sedikit beda ?? sedikit ????",nama nasib beda wajah gembira dengan mata bahagia tangan jepit warna kulit cerah,,
5011,2023,"jujur suka bgt, krn bapaknya telaten",jujur suka banget bapak telaten,,
5012,2023,Bayi yg bakalan sultan dari lahir ????????,bayi sultan lahir wajah memelas wajah memelas wajah memelas wajah memelas,,
5013,2023,Di adznin gk bang? ??????,adznin bang tangan angkat dan rapat sama warna kulit cerah wajah senyum lebar dan keringat,,
5014,2023,Gemessss bangetttt ??????,gemas banget wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati,,
5015,2023,"""Sophia km kenapa?"" ????",sophia wajah memelas wajah memelas,,
5016,2023,Sophia mirip sama papa nya comel banget??,sophia papa nya comel banget wajah senyum lebar mata hati,,
5017,2023,Cantik banget??,cantik banget wajah menang,,
5018,2023,@melindasucahyo9 karena dia uda tau ga bakal susah smpe 7 turunan ??,tau susah turun wajah gembira urai air mata,,
5019,2023,"Beda 1 hari tgl kelahiran nya ma aku kak ,,cntik bgt????",beda tanggal lahir nya kak cantik banget wajah senyum lebar mata hati wajah senyum lebar mata hati,,
5020,2023,Gemeyyy cekali??????,gemey cekal wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati,,
